deeplink,Domain,host,tld,domaincc,keywords,LE,BL,DP,LP,CCP,IPP,ABY,ACR,WBY,Registrar,Alexa,QCR,Dmoz,Yaca,Add Date,C,N,O,B,I,D,US,COM.AU,CA,UK,CO.UK,CO,EU,IN,CO.IN,AT,CH,BE,NL,DK,FR,PL,ES,PT,IT,ME,TV,IO,CN,RU,SE,NU,Reg,Reg32,Free32,SG,CO,CPC,SDE,CODE,CPCDE,SUS,COUS,CPCUS,SUK,COUK,CPCUK,MMGR,MMIP,MMCP,SQI,NFB,NTW,CF,TF,TR,MBL,MIU,MCU,MDP,MIP,MCP,TTF,MODE,MOLE,MOLI,MOLP,MRDL,MRDF,MRDH,MRDD,MRDS,ML,MLTP,MRL,MRLP,MDPE,MBLE,MDPG,MBLG,MDPEE,MBLEE,MDPGE,MBLGE,SRUSR,SRUSK,SRUST,SRUSC,RDT,RDS,RDE,RDT COM,RDS COM,RDE COM,RDT CNO,RDS CNO,RDE CNO,WPL,GEO,GEOC,GEOD,Price,currency,Bids,Traffic,Valuation,Endtime
https://www.expireddomains.net/goto/1/1pgi6n/21/?tr=export,reconnect.com,reconnect,com,Reconnect.com,Reconnect,9,9,1,1,0,1,1/22/1998,201,11/19/1999,"DYNADOT, LLC",0,0,no,no,11/5/2014,registered,registered,registered,registered,registered,registered,registered,registered,available,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,available,registered,registered,registered,registered,registered,registered,registered,registered,126,30,2,49500,14,0.23 USD,1000,10,0.56 EUR,8100,1,1.03 USD,1600,1,1.07 GBP,0,0,0,0,taken,taken,6,0,0,9,4,3,8,8,8,"1 - Computers/Internet/Domain Names (48.88%), 1 - Business/Real Estate (31.65%), 1 - Society/People (13.73%), 1 - Computers/Internet/Web Design and Development (5.14%), 1 - Computers/Internet (0.54%)",0,0,0,0,8,5,0,8,4,,0,"[English - 87.00%], [Spanish/Castilian - 12.00%]",70,0,0,0,0,0,0,0,0,0,0,0,0,2633,1124,1509,1936,879,1058,2541,1102,1439,0,,,,250,USD,435,0,0,1/5/2020 19:24
https://www.expireddomains.net/goto/1/1kfjn8/21/?tr=export,healthifyme.com,healthifyme,com,healthifyme.com,healthifyme,11,14303,88,905,4,77,11/19/2012,440,9/6/2010,Gandi SAS,67517,640871,no,no,7/27/2013,registered,registered,registered,available,registered,available,available,available,available,available,registered,available,available,registered,available,available,available,available,available,available,available,available,available,available,available,available,available,available,registered,available,available,available,13,7,25,27100,2,0.01 USD,30,0,0.00 EUR,480,1,0.00 USD,90,0,0.00 GBP,457823,684,566,10,taken,taken,39,18,2.17,14303,43264,43175,743,671,560,"17 - Home/Cooking (93.07%), 12 - Recreation/Travel (4.89%), 10 - Business/Human Resources (1.03%), 9 - Business/Information Technology (0.20%), 9 - Business/Directories (0.19%)",0,1,4,32977,701,522,23,742,532,[English - 100.00%],13791,"[English - 96.00%], [Russian - 1.00%], [Hindi - 0.00%], [Indonesian - 0.00%], [Japanese - 0.00%], [Chinese - 0.00%]",16572,0,0,0,0,0,0,0,0,125722,22823,12183,9486,15,8,7,8,5,4,13,7,6,1,,,,100,USD,420,0,0,12/19/2019 13:00
https://www.expireddomains.net/goto/1/edk4p/21/?tr=export,findahome.com,findahome,com,findahome.com,Finda Home,9,13,2,4,4,2,12/21/1996,128,5/21/1997,"GoDaddy.com, LLC",0,0,no,no,3/12/2015,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,available,registered,registered,registered,registered,registered,registered,registered,registered,available,registered,registered,registered,registered,available,registered,available,registered,registered,available,53,27,5,40,4,0.00 USD,140,14,0.94 EUR,18100,30,0.58 USD,22200,1,0.74 GBP,0,0,0,0,taken,taken,3,2,1.5,13,5,4,7,7,7,"2 - Business/Construction and Maintenance (54.52%), 2 - Business/Real Estate (45.04%), 1 - Computers/Security (0.35%)",0,0,0,0,6,5,1,7,4,,0,[English - 100.00%],20,0,0,0,0,0,0,0,0,0,0,0,0,760,630,130,705,590,116,744,619,125,0,PA,US,home>us-city,20,USD,412,0,0,2/13/2020 11:25
https://www.expireddomains.net/goto/1/8rrf1/21/?tr=export,ofoto.com,ofoto,com,ofoto.com,ofoto,5,66980,879,8870,821,655,10/12/1999,746,5/27/1999,"Alibaba Cloud Computing (Beijing) Co., Ltd.",6243367,342015,no,no,4/4/2017,registered,registered,registered,available,available,registered,available,registered,registered,available,available,registered,registered,available,available,available,available,available,registered,available,available,registered,registered,available,registered,registered,available,registered,registered,registered,registered,available,30,17,15,1600,11,0.49 USD,0,0,0.00 EUR,0,0,0.00 USD,40,12,0.63 GBP,82270,2174,1838,0,taken,taken,25,20,1.25,66980,8196,2317,2552,2176,1857,"17 - Society/People (17.35%), 16 - Computers/Human-Computer Interaction (12.39%), 16 - Sports/Motorsports (8.09%), 15 - Regional/North America (7.16%), 15 - Society/Activism (6.62%)",0,0,0,0,2505,2176,71,2552,901,,0,"[English - 96.00%], [Spanish/Castilian - 0.00%], [Chinese - 0.00%], [Russian - 0.00%], [Dutch/Flemish - 0.00%], [French - 0.00%], [Romanian/Moldavian/Moldovan - 0.00%], [Finnish - 0.00%], [German - 0.00%], [Hungarian - 0.00%]",118450,52,95,17,35,43,76,0,0,6423272,7,26,18,1806,29,1777,1543,23,1521,1745,29,1716,0,,,,"1,000",USD,355,0,0,12/7/2019 19:02
https://www.expireddomains.net/goto/1/8ok39/21/?tr=export,xslt.com,xslt,com,xslt.com,xslt,4,724,73,137,63,53,11/28/1999,304,4/27/1999,Uniregistrar Corp,0,0,no,no,7/25/2013,registered,registered,registered,registered,available,registered,registered,available,available,available,available,available,registered,available,available,available,available,available,registered,registered,registered,registered,available,available,registered,registered,available,available,registered,registered,available,available,22,15,17,40500,2,1.21 USD,2900,6,1.25 EUR,6600,3,3.00 USD,1900,2,1.27 GBP,0,0,0,0,available,taken,14,20,0.7,724,106,17,156,150,142,"20 - Computers/Data Formats (93.69%), 14 - Computers/Internet/On the Web (3.65%), 12 - Computers/Programming/Internet (1.43%), 10 - Reference/Libraries (0.25%), 10 - Computers/Software/Operating Systems (0.25%)",0,0,0,0,149,133,6,156,51,[English - 100.00%],0,"[English - 78.00%], [Chinese - 5.00%], [German - 2.00%], [Persian - 2.00%], [Japanese - 1.00%], [Lithuanian - 1.00%], [Romanian/Moldavian/Moldovan - 1.00%], [Russian - 1.00%], [Spanish/Castilian - 0.00%], [French - 0.00%]",897,2,2,0,0,2,2,0,0,0,0,0,0,287,171,116,256,158,99,280,169,111,1,,,,20,USD,346,0,0,12/6/2019 06:50
https://www.expireddomains.net/goto/1/l4x7q/21/?tr=export,odd2.com,odd2,com,Odd2.com,Odd,4,0,0,0,0,0,6/10/2001,19,3/8/2017,"GoDaddy.com, LLC",0,0,no,no,5/2/2018,registered,registered,registered,available,available,available,available,available,available,available,registered,registered,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,6,5,27,0,0,0.00 USD,0,0,0.00 EUR,0,0,0.00 USD,0,0,0.00 GBP,0,0,0,0,available,taken,0,0,0,0,2,2,0,0,0,-,0,0,0,0,0,0,0,0,0,,0,[English - 100.00%],1,0,0,0,0,0,0,0,0,0,0,0,0,27,17,10,21,14,8,26,16,10,0,,,,20,USD,342,0,0,1/15/2020 22:56
https://www.expireddomains.net/goto/1/l0rb3/21/?tr=export,maga.com,maga,com,Maga.com,Maga,4,231,4,4,4,4,12/21/1996,213,12/16/1998,"GoDaddy.com, LLC",10573631,0,no,no,5/29/2019,registered,registered,registered,registered,registered,registered,registered,registered,registered,available,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,available,registered,registered,registered,registered,registered,registered,registered,registered,199,30,2,246000,35,0.43 USD,4400,2,0.18 EUR,135000,74,0.64 USD,9900,0,0.00 GBP,0,0,0,0,available,taken,8,7,1.14,231,13,5,36,35,35,7 - Arts/Performing Arts (99.91%),1,1,0,3,32,12,0,36,16,,0,"[English - 94.00%], [Spanish/Castilian - 2.00%], [French - 0.00%], [German - 0.00%], [Italian - 0.00%], [Portuguese - 0.00%], [Russian - 0.00%], [Turkish - 0.00%]",853,0,0,0,0,0,0,0,0,4731616,1,51,47,19583,16295,3288,16504,13733,2772,18777,15613,3164,0,,,,25,USD,341,0,0,1/23/2020 19:00
https://www.expireddomains.net/goto/1/9q3yg/21/?tr=export,3ab.com,3ab,com,3ab.com,Ab,3,11,1,1,0,1,9/24/2003,76,4/26/2003,"DYNADOT, LLC",0,0,no,no,8/29/2012,registered,registered,registered,available,registered,registered,available,available,available,available,registered,available,available,registered,available,available,registered,available,available,available,registered,available,available,available,available,available,available,available,registered,registered,registered,available,20,12,20,0,0,0.00 USD,0,0,0.00 EUR,0,0,0.00 USD,0,0,0.00 GBP,0,0,0,0,available,taken,5,0,0,11,20,18,4,2,2,-,0,0,1,8,4,3,0,4,1,[English - 100.00%],0,"[Turkish - 54.00%], [English - 45.00%]",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"5,000",USD,330,0,0,12/29/2019 03:00
https://www.expireddomains.net/goto/1/2gf4pf/21/?tr=export,offer4sale.com,offer4sale,com,Offer4Sale.com,Offer Sale,10,0,0,0,0,0,2/1/2011,14,3/8/2017,"GoDaddy.com, LLC",0,0,no,no,5/2/2018,registered,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,1,1,31,0,0,0.00 USD,0,0,0.00 EUR,0,0,0.00 USD,0,0,0.00 GBP,0,0,0,0,available,taken,0,0,0,0,1786,1767,0,0,0,-,4,14,43,367,0,0,0,0,0,[English - 100.00%],11,,0,0,0,0,0,0,0,0,0,31464698,4,0,0,3,1,2,2,1,2,3,1,2,0,PA,AU GB MA,sale>au-city|gb-city|ma-city,20,USD,316,0,0,1/9/2020 18:34
https://www.expireddomains.net/goto/1/aflyyd/21/?tr=export,supshades.com,supshades,com,SupsHades.com,Sups Hades,9,0,0,0,0,0,8/4/2018,1,7/11/2015,"GoDaddy.com, LLC",0,0,no,no,5/2/2018,registered,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,1,1,31,0,0,0.00 USD,0,0,0.00 EUR,0,0,0.00 USD,0,0,0.00 GBP,0,0,0,0,available,available,0,0,0,0,1,1,0,0,0,-,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,1,2,3,1,2,0,,,,20,USD,315,0,0,1/15/2020 22:57
